Company Name,Industry,Symbol,Series,ISIN Code
Aban Offshore Ltd.,ENERGY,ABAN,EQ,INE421A01028
Adani Enterprises Ltd.,SERVICES,ADANIENT,EQ,INE423A01024
Advanced Enzyme Tech Ltd.,CONSUMER GOODS,ADVENZYMES,EQ,INE837H01020
Aegis Logistics Ltd.,ENERGY,AEGISCHEM,EQ,INE208C01025
Allahabad Bank,FINANCIAL SERVICES,ALBK,EQ,INE428A01015
Andhra Bank,FINANCIAL SERVICES,ANDHRABANK,EQ,INE434A01013
Ashoka Buildcon Ltd.,CONSTRUCTION,ASHOKA,EQ,INE442H01029
Astra Microwave Products Ltd.,TELECOM,ASTRAMICRO,EQ,INE386C01029
AstraZenca Pharma India Ltd.,PHARMA,ASTRAZEN,EQ,INE203A01020
BASF India Ltd.,CHEMICALS,BASF,EQ,INE373A01013
BEML Ltd.,INDUSTRIAL MANUFACTURING,BEML,EQ,INE258A01016
Bajaj Electricals Ltd,CONSUMER GOODS,BAJAJELEC,EQ,INE193E01025
Bajaj Hindusthan Sugar Ltd.,CONSUMER GOODS,BAJAJHIND,EQ,INE306A01021
Balrampur Chini Mills Ltd.,CONSUMER GOODS,BALRAMCHIN,EQ,INE119A01028
Bombay Burmah Trading Corporation Ltd.,CONSUMER GOODS,BBTC,EQ,INE050A01025
Capital First Ltd.,FINANCIAL SERVICES,CAPF,EQ,INE688I01017
Century Plyboards (India) Ltd.,CONSUMER GOODS,CENTURYPLY,EQ,INE348B01021
Chambal Fertilizers & Chemicals Ltd.,FERTILISERS & PESTICIDES,CHAMBLFERT,EQ,INE085A01013
Chennai Petroleum Corporation Ltd.,ENERGY,CHENNPETRO,EQ,INE178A01016
Cox & Kings Ltd.,SERVICES,COX&KINGS,EQ,INE008I01026
Deepak Fertilisers & Petrochemicals Corp. Ltd.,CHEMICALS,DEEPAKFERT,EQ,INE501A01019
Delta Corp Ltd.,SERVICES,DELTACORP,EQ,INE124G01033
Dena Bank,FINANCIAL SERVICES,DENABANK,EQ,INE077A01010
Dr. Lal Path Labs Ltd.,HEALTHCARE SERVICES,LALPATHLAB,EQ,INE600L01024
Endurance Technologies Ltd.,AUTOMOBILE,ENDURANCE,EQ,INE913H01037
FDC Ltd.,PHARMA,FDC,EQ,INE258B01022
Firstsource Solutions Ltd.,IT,FSL,EQ,INE684F01012
GE Power India Ltd.,INDUSTRIAL MANUFACTURING,GEPIL,EQ,INE878A01011
Gati Ltd.,SERVICES,GATI,EQ,INE152B01027
Godfrey Phillips India Ltd.,CONSUMER GOODS,GODFRYPHLP,EQ,INE260B01028
Godrej Properties Ltd.,CONSTRUCTION,GODREJPROP,EQ,INE484J01027
Granules India Ltd.,PHARMA,GRANULES,EQ,INE101D01020
Greaves Cotton Ltd.,INDUSTRIAL MANUFACTURING,GREAVESCOT,EQ,INE224A01026
Gujarat Mineral Development Corporation Ltd.,METALS,GMDCLTD,EQ,INE131A01031
