SYMBOL, NAME OF COMPANY, SERIES, FACE VALUE, PAID UP VALUE, MKT LOT, IP RATE, DATE OF LISTING, DATE OF ALLOTMENT, REDEMPTION DATE, REDEMPTION AMT, CONVERSION DATE, CONVERSION AMT, INTEREST PAYMENT DT
BLUEDART,Blue Dart Express Limited,N1,10,10,1,,28-NOV-2014,21-NOV-2014,,,,,,INE233B08087
BLUEDART,Blue Dart Express Limited,N2,10,10,1,,28-NOV-2014,21-NOV-2014,,,,,,INE233B08095
BLUEDART,Blue Dart Express Limited,N3,10,10,1,,28-NOV-2014,21-NOV-2014,,,,,,INE233B08103
DHFL,Dewan Housing Finance Corporation Limited,N1,1000,1000,1,8.74,19-AUG-2016,16-AUG-2016,,,,,,INE202B07HK3
DHFL,Dewan Housing Finance Corporation Limited,N2,1000,1000,1,8.83,19-AUG-2016,16-AUG-2016,,,,,,INE202B07HL1
DHFL,Dewan Housing Finance Corporation Limited,N3,1000,1000,1,8.74,19-AUG-2016,16-AUG-2016,,,,,,INE202B07HM9
DHFL,Dewan Housing Finance Corporation Limited,N4,1000,1000,1,8.88,19-AUG-2016,16-AUG-2016,,,,,,INE202B07HN7
DHFL,Dewan Housing Finance Corporation Limited,N5,1000,1000,1,8.74,19-AUG-2016,16-AUG-2016,,,,,,INE202B07HO5
DHFL,Dewan Housing Finance Corporation Limited,N6,1000,1000,1,8.93,19-AUG-2016,16-AUG-2016,,,,,,INE202B07HP2
DHFL,Dewan Housing Finance Corporation Limited,N7,1000,1000,1,9.1,19-AUG-2016,16-AUG-2016,,,,,,INE202B07HQ0
DHFL,Dewan Housing Finance Corporation Limited,N8,1000,1000,1,9.2,19-AUG-2016,16-AUG-2016,,,,,,INE202B07HR8
DHFL,Dewan Housing Finance Corporation Limited,N9,1000,1000,1,9.1,19-AUG-2016,16-AUG-2016,,,,,,INE202B07HS6
DHFL,Dewan Housing Finance Corporation Limited,NA,1000,1000,1,9.25,19-AUG-2016,16-AUG-2016,,,,,,INE202B07HT4
DHFL,Dewan Housing Finance Corporation Limited,NB,1000,1000,1,9.1,19-AUG-2016,16-AUG-2016,,,,,,INE202B07HU2
DHFL,Dewan Housing Finance Corporation Limited,NC,1000,1000,1,9.3,19-AUG-2016,16-AUG-2016,,,,,,INE202B07HV0
DHFL,Dewan Housing Finance Corporation Limited,ND,1000,1000,1,,19-AUG-2016,16-AUG-2016,,,,,,INE202B07HW8
DHFL,Dewan Housing Finance Corporation Limited,NE,1000,1000,1,,19-AUG-2016,16-AUG-2016,,,,,,INE202B07HX6
DHFL,Dewan Housing Finance Corporation Limited,NF,1000,1000,1,,19-AUG-2016,16-AUG-2016,,,,,,INE202B07HZ1
DHFL,Dewan Housing Finance Corporation Limited,NG,1000,1000,1,,19-AUG-2016,16-AUG-2016,,,,,,INE202B07IA2
DHFL,Dewan Housing Finance Corporation Limited,NH,1000,1000,1,,19-AUG-2016,16-AUG-2016,,,,,,INE202B07IB0
DHFL,Dewan Housing Finance Corporation Limited,NI,1000,1000,1,,19-AUG-2016,16-AUG-2016,,,,,,INE202B07IC8
DHFL,Dewan Housing Finance Corporation Limited,NJ,1000,1000,1,,19-AUG-2016,16-AUG-2016,,,,,,INE202B07ID6
DHFL,Dewan Housing Finance Corporation Limited,NK,1000,1000,1,9.05,14-SEP-2016,09-SEP-2016,,,,,09-SEP-2017,INE202B07IJ3
DHFL,Dewan Housing Finance Corporation Limited,NK,1000,1000,1,9.05,14-SEP-2016,09-SEP-2016,,,,,09-SEP-2018,INE202B07IJ3
DHFL,Dewan Housing Finance Corporation Limited,NK,1000,1000,1,9.05,14-SEP-2016,09-SEP-2016,,,,,09-SEP-2019,INE202B07IJ3
DHFL,Dewan Housing Finance Corporation Limited,NL,1000,1000,1,9.1,14-SEP-2016,09-SEP-2016,,,,,09-SEP-2017,INE202B07IK1
DHFL,Dewan Housing Finance Corporation Limited,NL,1000,1000,1,9.1,14-SEP-2016,09-SEP-2016,,,,,09-SEP-2018,INE202B07IK1
DHFL,Dewan Housing Finance Corporation Limited,NL,1000,1000,1,9.1,14-SEP-2016,09-SEP-2016,,,,,09-SEP-2019,INE202B07IK1
DHFL,Dewan Housing Finance Corporation Limited,NM,1000,1000,1,9.05,14-SEP-2016,09-SEP-2016,,,,,09-SEP-2017,INE202B07IL9
DHFL,Dewan Housing Finance Corporation Limited,NM,1000,1000,1,9.05,14-SEP-2016,09-SEP-2016,,,,,09-SEP-2018,INE202B07IL9
DHFL,Dewan Housing Finance Corporation Limited,NM,1000,1000,1,9.05,14-SEP-2016,09-SEP-2016,,,,,09-SEP-2019,INE202B07IL9
DHFL,Dewan Housing Finance Corporation Limited,NM,1000,1000,1,9.05,14-SEP-2016,09-SEP-2016,,,,,09-SEP-2020,INE202B07IL9
DHFL,Dewan Housing Finance Corporation Limited,NM,1000,1000,1,9.05,14-SEP-2016,09-SEP-2016,,,,,09-SEP-2021,INE202B07IL9
DHFL,Dewan Housing Finance Corporation Limited,NN,1000,1000,1,9.15,14-SEP-2016,09-SEP-2016,,,,,09-SEP-2017,INE202B07IM7
DHFL,Dewan Housing Finance Corporation Limited,NN,1000,1000,1,9.15,14-SEP-2016,09-SEP-2016,,,,,09-SEP-2018,INE202B07IM7
DHFL,Dewan Housing Finance Corporation Limited,NN,1000,1000,1,9.15,14-SEP-2016,09-SEP-2016,,,,,09-SEP-2019,INE202B07IM7
DHFL,Dewan Housing Finance Corporation Limited,NN,1000,1000,1,9.15,14-SEP-2016,09-SEP-2016,,,,,09-SEP-2020,INE202B07IM7
DHFL,Dewan Housing Finance Corporation Limited,NN,1000,1000,1,9.15,14-SEP-2016,09-SEP-2016,,,,,09-SEP-2021,INE202B07IM7
DHFL,Dewan Housing Finance Corporation Limited,NO,1000,1000,1,9.05,14-SEP-2016,09-SEP-2016,,,,,09-SEP-2017,INE202B07IN5
DHFL,Dewan Housing Finance Corporation Limited,NO,1000,1000,1,9.05,14-SEP-2016,09-SEP-2016,,,,,09-SEP-2018,INE202B07IN5
DHFL,Dewan Housing Finance Corporation Limited,NO,1000,1000,1,9.05,14-SEP-2016,09-SEP-2016,,,,,09-SEP-2019,INE202B07IN5
