NCH_SYMBOL, NCH_PREV_NAME, NCH_NEW_NAME, NCH_DT
1IADD,Deutsche MF - DWS Hybrid FTF Series 40 - RP-ADPO,DHFL Pramerica MF - Hybrid FTF Series 40 - RP-ADPO,08-MAR-2016
1ID1G,Deutsche MF - DWS Hybrid FTF Series 40 - DP-GO,DHFL Pramerica MF - Hybrid FTF Series 40 - DP-GO,08-MAR-2016
1ID2D,Deutsche MF - DWS Hybrid FTF Series 40 - DP-DPO,DHFL Pramerica MF - Hybrid FTF Series 40 - DP-DPO,08-MAR-2016
1IDPD,Deutsche MF - DWS Hybrid FTF Series 40 - RP-DPO,DHFL Pramerica MF - Hybrid FTF Series 40 - RP-DPO,08-MAR-2016
1IGPG,Deutsche MF - DWS Hybrid FTF Series 40 - RP-GO,DHFL Pramerica MF - Hybrid FTF Series 40 - RP-GO,08-MAR-2016
3MINDIA,Birla 3M Ltd.,3M India Limited,15-JUN-2004
63MOONS,Financial Technologies (India) Limited,63 moons technologies limited,19-JAN-2017
A2ZINFRA,A2Z Maintenance & Engineering Services Limited,A2Z INFRA ENGINEERING LIMITED,31-DEC-2014
ABAN,Aban Loyd Chiles Offshore Ltd.,Aban Offshore Limited,18-AUG-2006
ABB,ABB Limited,ABB India Limited,03-JUL-2013
ABCIL,Bihar Caustics and Chemicals Ltd,Aditya Birla Chemicals (India) Limited,09-MAR-2009
ABFRL,Pantaloons Fashion & Retail Limited,Aditya Birla Fashion and Retail Limited,29-JAN-2016
ABHISHEK,Abhishek Mills Ltd,Abhishek Corporation Limited,26-JUN-2008
ABIRLANUVO,Indian Rayon & Industries Ltd.,Aditya Birla Nuvo Limited,07-DEC-2005
ACC,Associated Cement Co. Ltd,ACC Limited,04-OCT-2006
ACCELYA,Kale Consultants Limited,Accelya Kale Solutions Limited,06-SEP-2012
ADANIENT,Adani Exports Ltd,Adani Enterprises Limited,20-SEP-2006
ADANIPORTS,Mundra Port and Special Economic Zone Limited,Adani Ports and Special Economic Zone Limited,17-JAN-2012
ADORWELD,Advani Oerlikon Ltd,Ador Welding Limited,27-SEP-2004
ADVANIHOTR,Ramada Hotels (I) Ltd,ADVANI HOTELS & RESORTS (INDIA) LIMITED,14-MAR-2001
ADVANTA,Advanta India Limited,Advanta Limited,30-JUL-2013
